Class,AP@50,AP@50-95
car,0.9196322968312474,0.7225832360792165
person,0.9067450028487379,0.6451522128048646
horse,0.8987510993585219,0.6955621364901239
motorbike,0.8900201198805462,0.6166003308194467
train,0.8793396584409171,0.6567093375863882
bus,0.8733875078783053,0.7573955188038084
bicycle,0.8726287280080635,0.6356179215191262
aeroplane,0.8369969699317875,0.6304891809677481
bird,0.8147858454052523,0.5547306650366705
tvmonitor,0.8011744266309935,0.5875578184860236
sheep,0.800707520741466,0.6103270071314537
cat,0.7926860334492223,0.6045466343210942
diningtable,0.7779389984441931,0.5787261173085583
dog,0.7721743851998872,0.5696945437914953
sofa,0.7502298448529038,0.6083591984344794
cow,0.7281992535294303,0.5385031266373346
boat,0.6810389178887324,0.4522722589155038
chair,0.6453618354106084,0.4594762611339519
bottle,0.6453217033142791,0.45486598456230354
pottedplant,0.4946014837309643,0.287109761243263
